Product Name,Order Date,Sales
Winter Coat,2022-01-01,119.16
Winter Coat,2022-01-01,124.43
Winter Coat,2022-01-01,116.14
Winter Coat,2022-01-01,118.16
Winter Coat,2022-01-01,115.59
Winter Coat,2022-01-01,123.52
Leather Wallet,2022-01-01,51.44
Leather Wallet,2022-01-01,48.35
Leather Wallet,2022-01-01,51.02
Leather Wallet,2022-01-01,47.69
Leather Wallet,2022-01-01,48.67
Leather Wallet,2022-01-01,52.41
Leather Wallet,2022-01-01,48.01
Leather Wallet,2022-01-01,52.11
Leather Wallet,2022-01-01,50.29
Leather Wallet,2022-01-01,49.36
Leather Wallet,2022-01-01,52.35
Leather Wallet,2022-01-01,49.25
Leather Wallet,2022-01-01,52.5
Leather Wallet,2022-01-01,51.32
Leather Wallet,2022-01-01,50.28
Leather Wallet,2022-01-01,50.04
Leather Wallet,2022-01-01,52.15
Leather Wallet,2022-01-01,48.03
Leather Wallet,2022-01-01,49.73
Leather Wallet,2022-01-01,51.49
Leather Wallet,2022-01-01,50.3
Leather Wallet,2022-01-01,52.24
Fitness Tracker,2022-01-01,147.17
Fitness Tracker,2022-01-01,145.74
Winter Coat,2022-01-02,114.22
Winter Coat,2022-01-02,114.17
Winter Coat,2022-01-02,120.55
Beach Towel,2022-01-02,23.93
Beach Towel,2022-01-02,25.95
Beach Towel,2022-01-02,24.47
Leather Wallet,2022-01-02,51.96
Leather Wallet,2022-01-02,51.37
Leather Wallet,2022-01-02,48.75
Leather Wallet,2022-01-02,48.24
Leather Wallet,2022-01-02,51.25
Leather Wallet,2022-01-02,48.06
Leather Wallet,2022-01-02,49.48
Leather Wallet,2022-01-02,51.92
Leather Wallet,2022-01-02,49.31
Leather Wallet,2022-01-02,50.92
Leather Wallet,2022-01-02,48.63
Leather Wallet,2022-01-02,51.59
Leather Wallet,2022-01-02,47.67
Leather Wallet,2022-01-02,51.15
Leather Wallet,2022-01-02,50.18
Leather Wallet,2022-01-02,48.51
Leather Wallet,2022-01-02,50.31
Leather Wallet,2022-01-02,49.85
Leather Wallet,2022-01-02,48.12
Leather Wallet,2022-01-02,49.15
Leather Wallet,2022-01-02,50.13
Leather Wallet,2022-01-02,48.39
Leather Wallet,2022-01-02,47.54
Leather Wallet,2022-01-02,47.57
Leather Wallet,2022-01-02,49.01
Leather Wallet,2022-01-02,52.5
Leather Wallet,2022-01-02,48.69
Leather Wallet,2022-01-02,50.67
Leather Wallet,2022-01-02,50.56
Fitness Tracker,2022-01-02,156.12
Fitness Tracker,2022-01-02,157.0
Fitness Tracker,2022-01-02,147.26
Fitness Tracker,2022-01-02,150.98
Fitness Tracker,2022-01-02,154.16
Fitness Tracker,2022-01-02,153.03
Winter Coat,2022-01-03,124.14
Winter Coat,2022-01-03,120.54
Winter Coat,2022-01-03,120.27
Winter Coat,2022-01-03,114.21
Winter Coat,2022-01-03,122.29
Winter Coat,2022-01-03,121.46
Winter Coat,2022-01-03,122.78
Winter Coat,2022-01-03,119.84
Winter Coat,2022-01-03,125.03
Winter Coat,2022-01-03,115.87
Winter Coat,2022-01-03,125.61
Winter Coat,2022-01-03,119.89
Winter Coat,2022-01-03,121.1
Winter Coat,2022-01-03,114.84
Winter Coat,2022-01-03,125.15
Winter Coat,2022-01-03,121.42
Winter Coat,2022-01-03,116.12
Leather Wallet,2022-01-03,48.26
Leather Wallet,2022-01-03,48.83
Leather Wallet,2022-01-03,48.02
Leather Wallet,2022-01-03,48.83
Leather Wallet,2022-01-03,51.9
Leather Wallet,2022-01-03,51.33
Leather Wallet,2022-01-03,50.96
Leather Wallet,2022-01-03,52.09
Leather Wallet,2022-01-03,47.62
Leather Wallet,2022-01-03,48.7
Leather Wallet,2022-01-03,52.03
Leather Wallet,2022-01-03,52.39
Fitness Tracker,2022-01-03,148.8
Winter Coat,2022-01-04,120.4
Winter Coat,2022-01-04,120.15
Beach Towel,2022-01-04,24.01
Leather Wallet,2022-01-04,47.62
Leather Wallet,2022-01-04,49.57
Leather Wallet,2022-01-04,47.69
Leather Wallet,2022-01-04,51.97
Leather Wallet,2022-01-04,51.86
Leather Wallet,2022-01-04,50.06
Leather Wallet,2022-01-04,50.31
Leather Wallet,2022-01-04,47.68
Leather Wallet,2022-01-04,48.63
Leather Wallet,2022-01-04,51.88
Leather Wallet,2022-01-04,49.17
Leather Wallet,2022-01-04,50.13
Leather Wallet,2022-01-04,51.54
Leather Wallet,2022-01-04,50.98
Leather Wallet,2022-01-04,50.2
Fitness Tracker,2022-01-04,152.14
Fitness Tracker,2022-01-04,155.78
Winter Coat,2022-01-05,118.6
Winter Coat,2022-01-05,118.37
Winter Coat,2022-01-05,118.61
Winter Coat,2022-01-05,117.54
Leather Wallet,2022-01-05,51.91
Leather Wallet,2022-01-05,48.38
Leather Wallet,2022-01-05,51.82
Leather Wallet,2022-01-05,49.17
Leather Wallet,2022-01-05,50.17
Leather Wallet,2022-01-05,51.83
Leather Wallet,2022-01-05,51.15
Leather Wallet,2022-01-05,49.38
Leather Wallet,2022-01-05,51.18
Leather Wallet,2022-01-05,49.23
Fitness Tracker,2022-01-05,150.08
Fitness Tracker,2022-01-05,143.63
Winter Coat,2022-01-06,123.72
Winter Coat,2022-01-06,122.41
Winter Coat,2022-01-06,119.35
Leather Wallet,2022-01-06,52.22
Leather Wallet,2022-01-06,50.43
Leather Wallet,2022-01-06,51.59
Leather Wallet,2022-01-06,50.77
Leather Wallet,2022-01-06,52.2
Leather Wallet,2022-01-06,48.17
Leather Wallet,2022-01-06,48.14
Leather Wallet,2022-01-06,49.41
Leather Wallet,2022-01-06,49.4
Leather Wallet,2022-01-06,51.9
Fitness Tracker,2022-01-06,146.99
Winter Coat,2022-01-07,115.4
Winter Coat,2022-01-07,123.53
Winter Coat,2022-01-07,124.53
Winter Coat,2022-01-07,116.99
Beach Towel,2022-01-07,24.76
Beach Towel,2022-01-07,24.61
Leather Wallet,2022-01-07,49.05
Leather Wallet,2022-01-07,48.38
Leather Wallet,2022-01-07,48.98
Leather Wallet,2022-01-07,50.25
Leather Wallet,2022-01-07,50.04
Leather Wallet,2022-01-07,48.84
Leather Wallet,2022-01-07,52.24
Leather Wallet,2022-01-07,52.44
Leather Wallet,2022-01-07,49.29
Leather Wallet,2022-01-07,50.29
Leather Wallet,2022-01-07,51.33
Leather Wallet,2022-01-07,51.75
Leather Wallet,2022-01-07,50.85
Leather Wallet,2022-01-07,52.1
Leather Wallet,2022-01-07,51.46
Leather Wallet,2022-01-07,51.39
Leather Wallet,2022-01-07,49.22
Leather Wallet,2022-01-07,50.78
Leather Wallet,2022-01-07,50.97
Leather Wallet,2022-01-07,51.64
Leather Wallet,2022-01-07,51.79
Fitness Tracker,2022-01-07,148.31
Fitness Tracker,2022-01-07,152.15
Fitness Tracker,2022-01-07,151.06
Fitness Tracker,2022-01-07,151.5
Winter Coat,2022-01-08,116.64
Winter Coat,2022-01-08,116.89
Winter Coat,2022-01-08,117.24
Winter Coat,2022-01-08,125.47
Winter Coat,2022-01-08,118.08
Winter Coat,2022-01-08,115.68
Winter Coat,2022-01-08,123.06
Winter Coat,2022-01-08,114.35
Winter Coat,2022-01-08,122.09
Leather Wallet,2022-01-08,51.96
Leather Wallet,2022-01-08,49.43
Leather Wallet,2022-01-08,51.24
Leather Wallet,2022-01-08,52.39
Leather Wallet,2022-01-08,51.94
Leather Wallet,2022-01-08,51.9
Leather Wallet,2022-01-08,50.33
Leather Wallet,2022-01-08,50.08
Leather Wallet,2022-01-08,52.04
Leather Wallet,2022-01-08,51.19
Leather Wallet,2022-01-08,52.18
Leather Wallet,2022-01-08,52.15
Leather Wallet,2022-01-08,49.47
Leather Wallet,2022-01-08,48.36
Leather Wallet,2022-01-08,48.49
Leather Wallet,2022-01-08,48.6
Leather Wallet,2022-01-08,50.06
Leather Wallet,2022-01-08,49.6
Leather Wallet,2022-01-08,47.73
Leather Wallet,2022-01-08,49.38
Leather Wallet,2022-01-08,50.49
Fitness Tracker,2022-01-08,153.37
Fitness Tracker,2022-01-08,153.61
Fitness Tracker,2022-01-08,147.71
Fitness Tracker,2022-01-08,147.12
Fitness Tracker,2022-01-08,156.18
Winter Coat,2022-01-09,115.82
Winter Coat,2022-01-09,125.06
Winter Coat,2022-01-09,125.33
Winter Coat,2022-01-09,123.79
Leather Wallet,2022-01-09,49.03
Leather Wallet,2022-01-09,48.58
Leather Wallet,2022-01-09,47.66
Leather Wallet,2022-01-09,50.48
Leather Wallet,2022-01-09,50.99
Fitness Tracker,2022-01-09,143.78
Fitness Tracker,2022-01-09,145.18
Winter Coat,2022-01-10,118.69
Beach Towel,2022-01-10,25.89
Leather Wallet,2022-01-10,48.6
Leather Wallet,2022-01-10,49.58
Leather Wallet,2022-01-10,48.09
Leather Wallet,2022-01-10,51.48
Leather Wallet,2022-01-10,51.03
Leather Wallet,2022-01-10,49.3
Leather Wallet,2022-01-10,51.73
Leather Wallet,2022-01-10,49.83
Leather Wallet,2022-01-10,51.35
Leather Wallet,2022-01-10,48.93
Leather Wallet,2022-01-10,51.41
Leather Wallet,2022-01-10,50.79
Leather Wallet,2022-01-10,52.39
Leather Wallet,2022-01-10,51.28
Fitness Tracker,2022-01-10,156.31
Fitness Tracker,2022-01-10,144.26
Fitness Tracker,2022-01-10,142.66
Fitness Tracker,2022-01-10,143.08
Winter Coat,2022-01-11,122.81
Winter Coat,2022-01-11,114.01
Winter Coat,2022-01-11,123.61
Winter Coat,2022-01-11,121.91
Beach Towel,2022-01-11,24.4
Leather Wallet,2022-01-11,48.29
Leather Wallet,2022-01-11,51.48
Leather Wallet,2022-01-11,51.72
Leather Wallet,2022-01-11,49.52
Leather Wallet,2022-01-11,50.68
Leather Wallet,2022-01-11,51.05
Leather Wallet,2022-01-11,51.29
Leather Wallet,2022-01-11,48.34
Leather Wallet,2022-01-11,48.12
Leather Wallet,2022-01-11,47.54
Leather Wallet,2022-01-11,52.33
Leather Wallet,2022-01-11,49.42
Leather Wallet,2022-01-11,52.2
Leather Wallet,2022-01-11,49.74
Leather Wallet,2022-01-11,52.07
Leather Wallet,2022-01-11,49.93
Fitness Tracker,2022-01-11,152.6
Fitness Tracker,2022-01-11,151.38
Winter Coat,2022-01-12,114.12
Winter Coat,2022-01-12,122.14
Winter Coat,2022-01-12,116.79
Winter Coat,2022-01-12,114.79
Winter Coat,2022-01-12,124.31
Winter Coat,2022-01-12,116.96
Winter Coat,2022-01-12,115.82
Winter Coat,2022-01-12,121.85
Winter Coat,2022-01-12,122.52
Winter Coat,2022-01-12,121.13
Winter Coat,2022-01-12,121.03
Winter Coat,2022-01-12,124.0
Winter Coat,2022-01-12,115.33
Winter Coat,2022-01-12,125.03
Winter Coat,2022-01-12,117.13
Winter Coat,2022-01-12,114.07
Winter Coat,2022-01-12,116.43
Winter Coat,2022-01-12,118.43
Winter Coat,2022-01-12,123.72
Beach Towel,2022-01-12,26.11
Beach Towel,2022-01-12,24.27
Beach Towel,2022-01-12,24.96
Beach Towel,2022-01-12,25.95
Leather Wallet,2022-01-12,50.79
Leather Wallet,2022-01-12,50.64
Leather Wallet,2022-01-12,49.23
Leather Wallet,2022-01-12,50.7
Leather Wallet,2022-01-12,50.34
Leather Wallet,2022-01-12,48.95
Leather Wallet,2022-01-12,48.08
Fitness Tracker,2022-01-12,152.02
Fitness Tracker,2022-01-12,153.44
Fitness Tracker,2022-01-12,153.38
Winter Coat,2022-01-13,118.33
Winter Coat,2022-01-13,121.0
Winter Coat,2022-01-13,120.48
Winter Coat,2022-01-13,116.35
Winter Coat,2022-01-13,118.56
Leather Wallet,2022-01-13,52.09
Leather Wallet,2022-01-13,52.39
Leather Wallet,2022-01-13,49.48
Leather Wallet,2022-01-13,48.83
Leather Wallet,2022-01-13,51.36
Fitness Tracker,2022-01-13,142.83
Fitness Tracker,2022-01-13,144.72
Fitness Tracker,2022-01-13,144.24
Winter Coat,2022-01-14,121.3
Winter Coat,2022-01-14,123.52
Winter Coat,2022-01-14,114.22
Winter Coat,2022-01-14,119.47
Winter Coat,2022-01-14,117.11
Winter Coat,2022-01-14,123.62
Winter Coat,2022-01-14,124.04
Winter Coat,2022-01-14,119.81
Winter Coat,2022-01-14,119.04
Winter Coat,2022-01-14,124.14
Winter Coat,2022-01-14,114.51
Winter Coat,2022-01-14,118.31
Leather Wallet,2022-01-14,49.01
Leather Wallet,2022-01-14,50.47
Leather Wallet,2022-01-14,51.59
Leather Wallet,2022-01-14,48.77
Leather Wallet,2022-01-14,52.21
